seed,global_rate,per_gpu_rate,policy,label,path,exists,submitted,completed,failed,slo_attainment_completed,slo_attainment_submitted,goodput_req_s,throughput_req_s,throughput_completed_req_s,ttft_p50,ttft_p90,ttft_p95,ttft_p99,tpot_p50,tpot_p90,tpot_p95,tpot_p99,complete
0,1.5,0.75,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_1p5/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.7109375,0.7109375,0.914118237890829,1.2857926862640232,1.2857926862640232,0.0754394056275487,0.19277988094836473,0.22633586553856733,0.27433729980140936,0.036791729501410096,0.5398730600851454,0.8879646691942726,2.3548193508293522,True
0,1.5,0.75,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_1p5/phase/phase_hetero.summary.json,True,128,128,0,0.9453125,0.9453125,1.2042050268704396,1.2738697804910435,1.2738697804910435,0.07562549039721489,0.18167837243527174,0.2219041589647532,0.2497014595009387,0.029567711917220945,0.05889005045062989,0.08463153284534611,0.1806664375192487,True
0,1.5,0.75,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_1p5/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.734375,0.734375,0.9367102258158908,1.275520307493979,1.275520307493979,0.07659821677953005,0.1875622062012553,0.22239595297724013,0.24968185143545274,0.03848335546068765,0.4239310800397236,0.746517300256528,1.4314120824858554,True
0,1.5,0.75,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_1p5/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.734375,0.734375,0.9372237395956085,1.276219560300403,1.276219560300403,0.07508420292288065,0.18622854612767695,0.2278373850509524,0.2591373378783465,0.03857867010029786,0.4138035678969961,0.7428520885878245,1.400741399699202,True
0,1.5,0.75,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_1p5/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.6953125,0.6953125,0.8941450917834135,1.2859614803177184,1.2859614803177184,0.07725526485592127,0.18448876701295375,0.22404763493686916,0.25222187573090205,0.03697655279270924,0.5738717523403465,0.9409205058506432,2.499345123581593,True
0,2.0,1.0,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_2/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.5,0.5,0.7219605369808747,1.4439210739617494,1.4439210739617494,0.10662816558033228,6.710183565691113,8.075454440154138,10.086724493131042,0.07072927577331606,1.2811735614202915,2.002852738818287,6.68488279571757,True
0,2.0,1.0,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_2/phase/phase_hetero.summary.json,True,128,128,0,0.7734375,0.7734375,1.0247313881800457,1.3249052291620793,1.3249052291620793,0.07619175314903259,0.1946213413029909,0.22723957095295194,0.27099476171657455,0.03689046544585402,0.2627646948909387,0.3755761424428784,0.899368069982157,True
0,2.0,1.0,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.453125,0.453125,0.6153590709717782,1.3580338117997863,1.3580338117997863,0.13127570878714323,6.1545322025194755,9.142089398484677,9.862018790207804,0.07374113297655868,1.2518217401579022,2.1351358760857875,5.37048102779314,True
0,2.0,1.0,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.4765625,0.4765625,0.6779235568756682,1.4225281193456643,1.4225281193456643,0.118131835013628,6.013554911501704,8.411698489822449,9.549859790690244,0.06972597232375333,1.1810995714180172,2.042988623827254,5.313340304624291,True
0,2.0,1.0,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.484375,0.484375,0.6731496975612152,1.3897284078683152,1.3897284078683152,0.11434678919613361,6.81843065842986,7.8149528134614235,10.20856428751722,0.0710374155072038,1.324697894696146,2.027680368081201,6.71674269829877,True
0,2.5,1.25,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_2p5/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.296875,0.296875,0.4350525295524368,1.4654400995450503,1.4654400995450503,1.3221225924789906,15.279477368108928,16.202124562114477,18.20223051926121,0.09803561608533129,1.6073114904708095,2.422630524603717,8.297299027368433,True
0,2.5,1.25,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_2p5/phase/phase_hetero.summary.json,True,128,128,0,0.609375,0.609375,0.807496939735059,1.3251231831549686,1.3251231831549686,0.08026058878749609,0.36364174038171765,1.9960800656117503,2.5642698482610298,0.0557487401453513,0.7001088995734849,1.2445605742279442,4.257743169665347,True
0,2.5,1.25,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2p5/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.328125,0.328125,0.4707473284350456,1.4346585247544246,1.4346585247544246,1.269749072380364,16.931310353800654,18.994277838990094,19.89946839334443,0.08213461367698274,1.6221245504915711,2.2608125352486974,4.275584783889355,True
0,2.5,1.25,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2p5/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.3359375,0.3359375,0.4784664376176368,1.4242721863966863,1.4242721863966863,2.830167784355581,14.382988536544143,16.807794599048794,17.246860176753252,0.08046610129312784,1.7915440768934783,2.356413475793921,6.031205144347631,True
0,2.5,1.25,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_2p5/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.296875,0.296875,0.42852521965951706,1.443453371484689,1.443453371484689,0.8085355889052153,15.7908405020833,17.53014493342489,18.33714740514755,0.10344329888713635,1.7997010596362604,2.73934784026351,8.659694783119498,True
0,3.0,1.5,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_3/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.296875,0.296875,0.43891118294251696,1.4784376688590046,1.4784376688590046,5.52898577041924,21.01389625817537,22.09892835915089,23.71217479011044,0.09646505295410872,1.7946341946588027,2.533345727678389,8.346358143286787,True
0,3.0,1.5,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_3/phase/phase_hetero.summary.json,True,128,128,0,0.4765625,0.4765625,0.6286644300359261,1.3191647056491562,1.3191647056491562,0.12182130943983793,5.868790913373232,7.2799220402725044,7.833307503163814,0.06501397039161821,0.9500383520592001,1.6467715718084959,4.61248345867731,True
0,3.0,1.5,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.3952069414189162,1.4051802361561465,1.4051802361561465,4.9440849320963025,23.95078689791262,26.26032360540703,27.431405825670808,0.10038658249797995,1.8211215490741386,2.629905803687871,4.390410893220456,True
0,3.0,1.5,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.2890625,0.2890625,0.42039541198719754,1.454340884712467,1.454340884712467,7.765089348889887,20.485393963567912,22.128253277018665,22.694574140924964,0.09888978708761229,1.910813806871218,2.6961658527329586,6.051060540378099,True
0,3.0,1.5,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.2890625,0.2890625,0.4168664561017496,1.4421326048925391,1.4421326048925391,3.965091315098107,22.435232151672242,24.349670762196183,24.971739571336656,0.09829224363051353,1.8731868724028269,2.7720787326805296,5.794878877615564,True
0,3.5,1.75,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_3p5/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.41843048016846207,1.487752818376754,1.487752818376754,8.434624851681292,25.179844481498005,26.1332094036974,27.396009149383755,0.09976288423587268,1.8980708101232135,2.8292002216167784,8.216700252331801,True
0,3.5,1.75,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_3p5/phase/phase_hetero.summary.json,True,128,128,0,0.4375,0.4375,0.5784667090535511,1.3222096206938312,1.3222096206938312,0.13115825969725847,9.8055676497519,10.307083381153644,10.619525840673596,0.07260292162287972,1.091992572862655,1.8247051289787395,6.273752440344547,True
0,3.5,1.75,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3p5/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.4039320392993343,1.436202806397633,1.436202806397633,7.667486506514251,28.024501737579705,29.879741040430964,31.40081872759387,0.10143017276687501,1.9363517733290778,2.7089380596609174,4.167914664076641,True
0,3.5,1.75,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3p5/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.4011031929095757,1.4261446859007134,1.4261446859007134,10.769954257644713,25.8467162206769,26.7435105544515,27.459911644924432,0.10066267185975045,2.1528015615906386,2.9094788689849307,5.912310234457261,True
0,3.5,1.75,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_3p5/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.4096796454838132,1.4566387394980025,1.4566387394980025,5.864891261793673,27.906526572257285,29.654670605622236,31.408197600003334,0.10349495137784906,2.034048226941376,3.0694850689917805,5.839317079707989,True
0,4.0,2.0,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_4/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.265625,0.265625,0.39596913445001347,1.4907073296941684,1.4907073296941684,10.597083088941872,28.458851283602417,29.1059933825396,30.125272631365807,0.09932331875662878,1.9558633399595102,2.9476051318086722,8.134982693251231,True
0,4.0,2.0,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_4/phase/phase_hetero.summary.json,True,128,128,0,0.3671875,0.3671875,0.4972516865377995,1.3542173590816666,1.3542173590816666,0.33354486618191004,14.65514587368816,15.412295756395908,17.5182772808522,0.07687351912455628,1.2564962760123999,2.0024627133006505,6.529271862283358,True
0,4.0,2.0,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.2734375,0.2734375,0.39280052436393764,1.4365276319595435,1.4365276319595435,10.881504691205919,31.497709256596863,33.28813745379448,34.87140095556155,0.10246319980218666,1.8876721040345719,2.8542976237057402,4.229584319500253,True
0,4.0,2.0,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.28125,0.28125,0.41310861945195765,1.4688306469402939,1.4688306469402939,13.333855039440095,27.963009107671677,29.00489063281566,29.19938805446029,0.09896467992354058,1.9259824333402014,3.0829770306497832,6.039730795091023,True
0,4.0,2.0,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.2734375,0.2734375,0.3977269871732007,1.4545444102334197,1.4545444102334197,9.00419087242335,31.54902305845171,33.103295751754196,34.03565248286351,0.09928450569614086,1.9691273759784438,2.9038141280412684,5.810366744581618,True
0,4.5,2.25,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_4p5/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.265625,0.265625,0.3977821356510092,1.49753274598027,1.49753274598027,12.155465498566628,31.1900267675519,31.375663306564093,32.16580716621131,0.09913009488129784,1.9590155576754889,2.8514955319277977,8.137005459889776,True
0,4.5,2.25,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_4p5/phase/phase_hetero.summary.json,True,128,128,0,0.3671875,0.3671875,0.4979882775228242,1.3562233941047128,1.3562233941047128,1.287208080291748,17.70976184029132,18.326734071690588,18.67256445111707,0.08078106817714488,1.2662951219050833,1.9799171055550688,6.77381805972197,True
0,4.5,2.25,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4p5/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.2578125,0.2578125,0.37025985828214375,1.436159450306497,1.436159450306497,13.227631093934178,35.405513940751554,36.2271188733168,37.75064052883536,0.10683327247789001,1.927578533999621,2.8722253839019696,4.414635626628996,True
0,4.5,2.25,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4p5/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.2578125,0.2578125,0.3794100050240592,1.4716509285781691,1.4716509285781691,15.301547137089074,31.0870181793347,32.339149522129446,32.67308176605031,0.09910260949099861,2.0277511104863755,3.269574041729795,5.60436271381565,True
0,4.5,2.25,bps_pbc,w/o KAS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_4p5/bps_pbc/bps_pbc_hetero.summary.json,True,128,128,0,0.265625,0.265625,0.39122550575570025,1.4728489628449892,1.4728489628449892,11.127093843184412,33.54614419844001,34.61146668745205,35.63785276411102,0.10305708127042035,1.9685081967485267,2.9395725993439576,7.430759938871493,True
0,5.0,2.5,fcfs,DistServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_5/fcfs/fcfs_hetero.summary.json,True,128,128,0,0.265625,0.265625,0.3989247357999839,1.5018342994822922,1.5018342994822922,13.42627277970314,33.31410157401115,33.61312026102096,33.90385866018012,0.09851011289835046,1.9459628692428979,2.792740478068593,8.156536494940527,True
0,5.0,2.5,phase,PhaseServe,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/seed_0/rate_5/phase/phase_hetero.summary.json,True,128,128,0,0.34375,0.34375,0.4636817555853119,1.3488923798845436,1.3488923798845436,1.9048712886869907,19.66375403292477,20.584938694443554,21.153958330433817,0.08360374051927855,1.2292906940449029,1.8865857425192385,4.650662006577482,True
0,5.0,2.5,bps_kas,w/o PBC,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_5/bps_kas/bps_kas_hetero.summary.json,True,128,128,0,0.2578125,0.2578125,0.3711483977473851,1.4396059064140998,1.4396059064140998,14.448672086000443,37.127195477299395,37.68953136038036,38.472855916358526,0.09935854518843465,1.6873617311008275,2.8353998185135425,4.264660285482183,True
0,5.0,2.5,kas_pbc,w/o BPS,/root/data/phase_scheduler_results/stage4p_targeted_ablation_20260601_101528/opt13b_sharegpt_ablation/seed_0/rate_5/kas_pbc/kas_pbc_hetero.summary.json,True,128,128,0,0.2578125,0.2578125,0.37968477354601843,1.472716697390617,1.472716697390617,16.82752372790128,33.04234234821051,33.25245546307415,33.48092719724402,0.09781789094168784,1.9509082610641295,3.068930492894726,6.09348156901077,True
