path,label,policy,model,dataset,request_rate,process_name,num_prompts,seed,num_gpus,submitted,completed,failed,goodput,throughput_req_s,goodput_req_s,slo_attainment_completed,slo_attainment_submitted,throughput_offered_req_s,throughput_submitted_req_s,throughput_completed_req_s,throughput_goodput_req_s,throughput_per_gpu_completed_req_s,throughput_per_gpu_goodput_req_s,throughput_input_tokens_s,throughput_requested_output_tokens_s,throughput_generated_output_tokens_s,throughput_total_generated_tokens_s,latency_s_median,latency_s_p75,latency_s_p90,latency_s_p95,latency_s_p99,ttft_s_median,ttft_s_p75,ttft_s_p90,ttft_s_p95,ttft_s_p99,tpot_s_median,tpot_s_p75,tpot_s_p90,tpot_s_p95,tpot_s_p99,context_queue_s_median,context_exec_s_median,bridge_queue_s_median,migration_s_median,decode_queue_s_median,decode_exec_s_median,phase_decode_swap_ins,phase_decode_evictions,phase_decode_scan_mean,phase_decode_selected_mean,phase_decode_starved_ready,phase_decode_starved_selected,phase_decode_starved_admission_ratio_mean,phase_decode_first_token_ready,phase_decode_first_token_selected,phase_decode_first_token_admission_ratio_mean,phase_decode_handoff_debt_ready,phase_decode_handoff_debt_selected,phase_decode_handoff_debt_admission_ratio_mean,phase_decode_handoff_debt_discount_mean,phase_decode_handoff_debt_selected_discount_mean,phase_decode_handoff_debt_weight_mean,phase_decode_budget_ttft_debt_weight_mean,phase_decode_effective_handoff_debt_weight_mean,phase_decode_handoff_debt_pressure_mean,phase_decode_kas_intensity_mean,phase_decode_selected_effective_kas_intensity_mean,phase_decode_fcfs_fallback_active,phase_decode_fcfs_fallback_threshold_mean,phase_decode_short_output_fcfs_threshold_mean,phase_decode_long_output_full_kas_threshold_mean,phase_decode_avg_target_output_len_mean,phase_decode_budget_decode_utility_intensity_mean,phase_decode_decode_utility_intensity_mean,phase_decode_regime_counts,phase_decode_budget_regime_counts,phase_decode_regime_switch_rate_mean,phase_decode_intensity_delta_mean,phase_decode_controller_decode_utility_intensity_mean,phase_decode_controller_ttft_debt_weight_mean,phase_decode_kas_adaptive_intensity,phase_decode_prefill_gate_active,phase_decode_prefill_gate_pressure_mean,phase_decode_prefill_gate_hard_mean,phase_decode_policy_skipped,phase_decode_infeasible_rounds,phase_decode_infeasible_gpu_append_blocks,phase_decode_infeasible_gpu_swap_blocks,phase_decode_infeasible_swap_budget,phase_decode_max_skip_max,phase_decode_max_infeasible_max,phase_decode_mode_switch_rate_mean,phase_decode_budget_delta_mean,phase_decode_pressure_overshoot_mean,phase_decode_pressure_potential_mean,phase_decode_goodput_capacity_mean,phase_decode_smooth_cost_mean,phase_decode_progress_debt_mean,phase_decode_pressure_injection_swap_mean,phase_decode_pressure_decode_hard_mean,phase_decode_pressure_kv_hard_mean,phase_decode_rho_prefill_mean,phase_decode_rho_memory_mean,phase_decode_rho_swap_mean,phase_decode_rho_scan_mean,phase_decode_rho_hard_mean,phase_decode_pressure_first_mean,phase_decode_swap_byte_budget_mean,phase_decode_swap_byte_budget_ratio_mean,phase_context_prefill_budget_mean,phase_context_prefill_budget_ratio_mean,phase_context_prefill_block_margin_mean,phase_context_decode_utility_intensity_mean,phase_context_controller_ttft_debt_weight_mean,phase_context_regime_counts,phase_context_regime_switch_rate_mean,phase_context_intensity_delta_mean,phase_context_mode_switch_rate_mean,phase_context_budget_delta_mean,phase_context_pressure_overshoot_mean,phase_context_pressure_potential_mean,phase_context_goodput_capacity_mean,phase_context_smooth_cost_mean,phase_context_progress_debt_mean,phase_context_pressure_injection_prefill_mean,phase_context_pressure_decode_hard_mean,phase_context_pressure_kv_hard_mean,phase_context_rho_prefill_mean,phase_context_rho_memory_mean,phase_context_rho_swap_mean,phase_context_rho_scan_mean,phase_context_rho_hard_mean,phase_context_pressure_first_mean,phase_context_selected_mean,phase_context_selected_prefill_blocks_mean,phase_context_token_fill_mean,phase_context_pad_waste_mean,phase_context_block_risk_mean,phase_context_forced_oldest,phase_context_protected_triggered,phase_context_protected_selected,phase_context_protected_dispatch_ratio,phase_context_protected_feasible_triggers,phase_context_protected_feasible_dispatch_ratio,phase_context_protected_forced_single,phase_context_protected_blocked,phase_context_protected_bypassed,phase_context_protected_bypass_ratio,phase_context_protected_wait_p99,phase_context_waiting_max_wait_max,phase_context_long_prompt_waiting_mean,phase_context_long_prompt_max_wait_max,phase_context_candidate_max_wait_p99,phase_context_selected_max_wait_p99,phase_context_selected_long_prompt_mean,phase_context_decode_snapshot_used,phase_context_decode_snapshot_stale,phase_context_decode_snapshot_age_mean
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_0p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,0.75,poisson,128,0,1,128,128,0,124,0.7031226043922963,0.6811500230050371,0.96875,0.96875,0.75,0.7031226043922963,0.7031226043922963,0.6811500230050371,0.7031226043922963,0.6811500230050371,387.31618525856584,120.88215650200684,120.67891012417468,507.9950953827405,2.1578672528266907,7.913350316230208,13.026124675013124,15.57505009323359,22.61954377496616,0.08260182198137045,0.14109980687499046,0.2005150131881237,0.22977433092892177,0.26030410489067435,0.02711954808217429,0.029533298085270138,0.031792170235088894,0.03588612954900001,0.05162004621699453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_0p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,0.75,poisson,128,1,1,128,128,0,123,0.7253264444420559,0.6969933802060381,0.9609375,0.9609375,0.75,0.7253264444420559,0.7253264444420559,0.6969933802060381,0.7253264444420559,0.6969933802060381,423.4206451687445,139.17767814016668,137.50602735024162,560.9266725189862,2.632745210081339,8.82596830651164,13.380728137306868,16.935044861678033,22.026266355160626,0.09138350654393435,0.1659318064339459,0.2116721725091338,0.2449032963253558,0.27699709836393593,0.028425131186020015,0.031070001774865692,0.03308299184208643,0.03611364645936659,0.0463734987483106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_1p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,1.0,poisson,128,0,1,128,128,0,122,0.9083401650057416,0.8657617197710974,0.953125,0.953125,1.0,0.9083401650057416,0.9083401650057416,0.8657617197710974,0.9083401650057416,0.8657617197710974,500.36059917492054,156.16354430559647,155.9009772266495,656.26157640157,2.2071305736899376,8.469578169286251,13.818955633044244,16.80862750820816,24.943551790341754,0.08636120986193419,0.14438628498464823,0.22032955046743155,0.24310171063989405,0.27422560833394527,0.028894399953895953,0.03161901502313794,0.03490718530956655,0.03915917559898472,0.052624839995056384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_1p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,1.0,poisson,128,1,1,128,128,0,120,0.939974241909663,0.8812258517903091,0.9375,0.9375,1.0,0.939974241909663,0.939974241909663,0.8812258517903091,0.939974241909663,0.8812258517903091,548.7246508122956,180.3649012151815,178.19855432953034,726.923205141826,2.918181724846363,9.319585396908224,14.439291308820248,17.119405382592234,23.456683183554563,0.09744203370064497,0.17126936372369528,0.22108959034085274,0.26043334016576414,0.2828612887300551,0.030232602979191454,0.032808770824755945,0.03605626326597998,0.03919216681768496,0.05374511780838173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_1p25/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,1.25,poisson,128,0,1,128,128,0,121,1.0999651606239802,1.0398108159023562,0.9453125,0.9453125,1.25,1.0999651606239802,1.0999651606239802,1.0398108159023562,1.0999651606239802,1.0398108159023562,605.917527425283,189.10807284915083,188.79011416990795,794.7076415951909,2.319004613906145,8.971397174987942,14.852540929429233,17.33782043298707,26.16439001014458,0.08877778891474009,0.1512299026362598,0.217634061537683,0.24898549979552628,0.2878529322706163,0.030612688955096973,0.03391181963519364,0.03927509321550292,0.04910813139751555,0.060490990366958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_1p25/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,1.25,poisson,128,1,1,128,128,0,118,1.1328114596748724,1.044310564387773,0.921875,0.921875,1.25,1.1328114596748724,1.1328114596748724,1.044310564387773,1.1328114596748724,1.044310564387773,661.2963897642642,217.36704891464484,214.7562725036754,876.0526622679396,3.095448494888842,10.053782784380019,14.981437073089182,17.81813034787774,24.746374082230034,0.10061576310545206,0.17923776526004076,0.23366891480982302,0.27458778992295263,0.3000618450716139,0.031825689201292924,0.03460342734975318,0.037129722768440836,0.04049766591424123,0.054769689204792193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_1p5/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,1.5,poisson,128,0,1,128,128,0,119,1.28050151783428,1.1904662548615572,0.9296875,0.9296875,1.5,1.28050151783428,1.28050151783428,1.1904662548615572,1.28050151783428,1.1904662548615572,705.3662618826347,220.14622188641536,219.77607691641637,925.1423387990511,2.4945342307910323,9.690799178089947,15.481026128865778,17.628932657931003,28.306201804745967,0.09728325996547937,0.15424508787691593,0.22290180642157792,0.25182762909680606,0.31597974216565505,0.03257749063773903,0.03674197044622685,0.04326716047346264,0.05048012360930443,0.07131682708334909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_1p5/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,1.5,poisson,128,1,1,128,128,0,120,1.290595448361946,1.2099332328393244,0.9375,0.9375,1.5,1.290595448361946,1.290595448361946,1.2099332328393244,1.290595448361946,1.2099332328393244,753.4052585351666,247.64308443138873,244.66866523399204,998.0739237691587,3.1968575660139322,10.598405977711082,15.622086897678674,18.12934861732647,26.740789980161942,0.11033223755657673,0.1798021006397903,0.22961698323488233,0.2677412316203117,0.29815045829862363,0.03348737832260121,0.036654151149799793,0.03957250780727241,0.04481405883090615,0.06183773553361087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_1p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,1.75,poisson,128,0,1,128,128,0,121,1.4454017829712946,1.3663563729650519,0.9453125,0.9453125,1.75,1.4454017829712946,1.4454017829712946,1.3663563729650519,1.4454017829712946,1.3663563729650519,796.2018305900235,248.49618465676804,248.0783732038779,1044.2802037939014,2.5227975668385625,10.258640071377158,16.410731532983483,18.757154992874714,30.350208960305935,0.09593196213245392,0.15484740864485502,0.22277371417731046,0.2472169348038733,0.3293434391543272,0.03404673696900293,0.03910459048939714,0.04668870199283296,0.05538699993996749,0.07319706276059151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_1p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,1.75,poisson,128,1,1,128,128,0,115,1.3666621531364043,1.2278605282084882,0.8984375,0.8984375,1.75,1.3666621531364043,1.3666621531364043,1.2278605282084882,1.3666621531364043,1.2278605282084882,797.8103859895187,262.23897768111897,259.0892485000624,1056.899634489581,3.2037912840023637,11.071065136231482,16.699911517277357,18.70422581797466,28.975066342391088,0.108589643612504,0.1844386151060462,0.24584290254861113,0.28727319277822977,0.3781054014898837,0.03566865447039941,0.038785346888128305,0.04260966030767921,0.04868958322703839,0.06216436712485225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_2p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,2.0,poisson,128,0,1,128,128,0,116,1.5973713786697725,1.4476178119194814,0.90625,0.90625,2.0,1.5973713786697725,1.5973713786697725,1.4476178119194814,1.5973713786697725,1.4476178119194814,879.9145198330233,274.6230824922423,274.16134232809554,1154.075862161119,2.896713526919484,10.602785639930516,17.643517484888434,20.324108448904013,31.85110809164125,0.09916472528129816,0.16233072197064757,0.23739271573722362,0.27100783884525304,0.34804724618792543,0.036508213097259816,0.042081102065636505,0.05140969151630997,0.06005165912210942,0.07775893278109533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_2p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,2.0,poisson,128,1,1,128,128,0,113,1.4353281346580022,1.2671256188777675,0.8828125,0.8828125,2.0,1.4353281346580022,1.4353281346580022,1.2671256188777675,1.4353281346580022,1.2671256188777675,837.8952256087128,275.4147993385562,272.1068165282116,1110.0020421369245,3.329635347239673,11.692392942961305,17.337158336304128,19.41743932534009,30.739740864019854,0.11387663334608078,0.17972235847264528,0.2522933904081583,0.27856395896524194,0.31667351784184583,0.03804032472878595,0.04155797785129336,0.04814227727157148,0.05330464097538165,0.07581805153434189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_2p25/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,2.25,poisson,128,0,1,128,128,0,113,1.7384195676902052,1.5346985246015092,0.8828125,0.8828125,2.25,1.7384195676902052,1.7384195676902052,1.5346985246015092,1.7384195676902052,1.5346985246015092,957.611135142724,298.8723516139895,298.36983970770405,1255.980974850428,2.9035760750994086,11.55476809013635,18.407080685161052,21.8743414266035,33.64171145908537,0.1136747570708394,0.17640034342184663,0.26613955851644266,0.3541290852241219,0.8884097218886027,0.03894777030766697,0.045051238306338275,0.055436911243930395,0.062288710443923874,0.07576986563170243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_2p25/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,2.25,poisson,128,1,1,128,128,0,112,1.4935623931381876,1.3068670939959142,0.875,0.875,2.25,1.4935623931381876,1.4935623931381876,1.3068670939959142,1.4935623931381876,1.3068670939959142,871.8903839068098,286.5889526395861,283.1467580616505,1155.0371419684602,3.3805266162380576,12.045937361661345,17.794534089229998,20.448167172726247,31.890144352372747,0.11560848634690046,0.19115091115236282,0.2723353860899806,0.2878139984793961,0.31547398146241906,0.040460667427950826,0.04442341405755052,0.05015214723111554,0.05496383976812165,0.07992671582448703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_2p5/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,2.5,poisson,128,0,1,128,128,0,94,1.8664862291935438,1.3707008245640087,0.734375,0.734375,2.5,1.8664862291935438,1.8664862291935438,1.3707008245640087,1.8664862291935438,1.3707008245640087,1028.1568557359967,320.8898121846338,320.3502810090075,1348.5071367450041,3.2294076941907406,13.140478571411222,19.232015831395984,22.80834876261652,35.3989121950418,0.12430673278868198,0.28524786652997136,1.0192319760099053,1.256755699031055,2.446769632883374,0.04188948983507901,0.04910557147573858,0.05747690771672741,0.0648062830247606,0.10186382347303972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_2p5/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,2.5,poisson,128,1,1,128,128,0,94,1.5386926769668114,1.1299774346475022,0.734375,0.734375,2.5,1.5386926769668114,1.5386926769668114,1.1299774346475022,1.5386926769668114,1.1299774346475022,898.2358922524538,295.24867842954575,291.7024726505988,1189.9383649030526,3.714470963925123,13.734582514502108,18.425547652132806,22.719531714450575,34.053787087835374,0.15065157134085894,0.2604692834429443,1.1946770433336487,2.002523153461516,2.317826250120998,0.04199423165868549,0.046161822647539784,0.05217432691038332,0.0552858547307551,0.08620115530418446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_2p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,2.75,poisson,128,0,1,128,128,0,63,1.9681923181980614,0.9687196566131083,0.4921875,0.4921875,2.75,1.9681923181980614,1.9681923181980614,0.9687196566131083,1.9681923181980614,0.9687196566131083,1084.1818137798994,338.37531370520736,337.8063831132282,1421.9881968931275,4.822504390031099,13.9565365659073,20.18002024590969,23.862053927034143,36.35657080134379,0.2576967878267169,1.085100677330047,2.927291675284505,3.1015338952653115,4.337298822142186,0.04464230603876082,0.05137875921397662,0.06419636561934436,0.0745697597735653,0.08972707431763413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_2p75/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,2.75,poisson,128,1,1,128,128,0,83,1.5605085682593502,1.0118922747306724,0.6484375,0.6484375,2.75,1.5605085682593502,1.5605085682593502,1.0118922747306724,1.5605085682593502,1.0118922747306724,910.9712596677748,299.43477300795234,295.8382884170421,1206.809548084817,4.645323473028839,14.64476336305961,18.92790663316846,24.74232911756264,35.73760072717443,0.19129540119320154,0.6458433838561177,2.357692981697619,3.0301732078194616,3.6089932757616054,0.04391727112087405,0.048230028152651094,0.053323405981063846,0.06023400149240571,0.09035989232361318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_0/rate_3p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_0_128.ds,3.0,poisson,128,0,1,128,128,0,53,2.011401898547064,0.8328460986171438,0.4140625,0.4140625,3.0,2.011401898547064,2.011401898547064,0.8328460986171438,2.011401898547064,0.8328460986171438,1107.9838786301168,345.80398577677107,345.2225649154723,1453.206443545589,5.792072227224708,15.269856022670865,21.680620089545847,24.504104673862457,37.24623892251404,0.7186186471953988,3.1906700492836535,4.435568279214204,4.772464757226408,4.883403849806637,0.04555126084203101,0.05208558160288129,0.06454090635910728,0.07061978387920295,0.0783415099876965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/data/phase_scheduler_results/stage4r_vllm_slo_opt13b_sharegpt_20260601_203255/seed_1/rate_3p0/vllm/vllm_hetero.summary.json,vllm-opt13b-sharegpt,vllm,opt-13b,/root/data/phase_scheduler_results/stage4o_e2e_full_matrix_20260531_234957/opt13b_sharegpt/datasets/opt13b_sharegpt_seed_1_128.ds,3.0,poisson,128,1,1,128,128,0,49,1.550306787944092,0.5934768172598477,0.3828125,0.3828125,3.0,1.550306787944092,1.550306787944092,0.5934768172598477,1.550306787944092,0.5934768172598477,905.0158110059253,297.4772267085535,293.89214226143275,1198.9079532673582,6.313284048810601,16.68522618059069,21.068769496679305,25.597097058501113,37.281171275284144,0.9657714124768972,3.007012102752924,4.046371538937092,4.310099200252443,4.686184611879289,0.04659196005997246,0.05165734532157103,0.060632065605176116,0.07347598698688675,0.1137430481037578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
